Label,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"25-29, incidence, males",0.96,1.9,2.0,1.5,1.0,2.5,2.6,3.1,2.1,2.6,4.7,1.6,1.6,1.1,2.2,2.8,1.2,0.60,1.9,5.1,1.9,2.5,3.7,5.4,3.6,3.5,3.5,2.9,3.5,3.4,3.4,3.9,2.8,6.9,3.4,4.6,11.3,7.2,6.0,4.4,5.5
"30-34, incidence, males",5.7,2.2,4.5,3.7,4.2,2.4,6.7,4.4,6.0,3.0,4.1,5.6,5.2,3.6,3.6,7.2,2.1,4.2,4.8,7.0,3.3,4.0,3.0,6.2,3.8,5.7,8.7,6.7,6.5,4.6,4.6,8.6,6.2,5.0,6.6,7.6,8.7,11.5,5.0,7.2,6.0
"35-39, incidence, males",5.5,6.9,7.4,8.7,10.4,7.5,6.6,7.6,11.9,9.9,4.8,5.3,7.8,6.4,8.5,5.1,7.7,5.2,8.3,9.8,9.8,7.8,4.7,8.0,11.4,5.6,9.8,8.3,12.3,10.0,7.5,11.0,10.8,11.6,13.6,9.6,18.5,12.3,12.6,10.8,10.7
"40-44, incidence, males",10.4,7.4,8.6,9.3,13.8,11.2,12.2,14.4,7.3,9.2,11.1,8.9,8.2,8.8,8.5,9.2,9.3,8.9,14.0,10.6,10.8,7.8,8.9,6.3,10.4,8.3,10.5,11.0,13.3,16.3,13.3,14.9,8.9,11.0,14.9,17.3,21.2,14.2,21.9,17.0,15.1
"45-49, incidence, males",8.2,9.7,7.5,9.5,9.2,13.4,16.5,15.4,14.2,16.1,13.3,13.6,16.3,16.4,16.3,10.4,12.3,14.8,11.3,13.0,9.8,10.9,13.5,15.3,16.0,19.8,18.9,14.8,15.8,23.0,20.4,19.4,22.2,17.1,23.4,22.8,26.3,21.9,22.6,22.5,22.3
"50-54, incidence, males",14.0,12.4,18.3,11.2,14.4,20.8,18.6,15.5,23.5,19.1,18.9,19.8,13.8,15.3,18.6,16.3,32.8,14.0,17.4,20.2,18.1,16.3,12.3,17.9,19.8,19.7,17.3,19.5,20.3,26.3,22.8,22.0,24.7,26.2,28.7,34.5,34.1,44.5,30.9,38.6,28.8
"55-59, incidence, males",11.3,17.0,23.2,17.8,15.9,11.0,19.4,19.4,33.9,23.3,20.3,24.5,22.8,18.3,19.2,21.3,26.6,23.8,21.1,28.7,24.4,26.6,29.7,25.5,23.5,24.2,35.9,33.0,28.2,32.4,27.2,27.9,34.5,43.0,28.7,40.9,47.8,53.0,49.4,49.6,44.1
"60-64, incidence, males",13.8,20.0,23.8,24.2,17.0,22.1,23.4,23.7,20.4,26.1,17.1,30.5,22.0,23.9,37.2,27.9,29.8,35.7,22.9,31.1,34.0,32.2,28.3,34.6,42.5,51.7,42.8,36.3,43.9,58.0,49.5,48.1,38.4,37.0,57.8,58.1,62.8,56.6,53.9,52.1,44.4
"65-69, incidence, males",15.7,24.7,21.6,24.6,17.3,26.7,40.0,31.3,23.1,21.9,30.9,22.5,21.8,37.4,26.6,28.0,38.0,31.1,40.9,31.7,29.9,37.6,36.2,41.7,34.8,34.4,57.9,49.8,44.2,60.9,59.9,59.3,66.4,77.6,58.0,77.4,81.4,66.4,76.6,64.2,55.7
"70-74, incidence, males",18.9,12.3,24.1,21.0,25.6,15.2,40.6,35.1,21.0,24.8,29.8,41.4,35.4,34.1,40.7,33.4,36.2,24.9,51.7,43.2,49.0,46.9,47.4,37.6,63.3,46.4,64.7,59.5,68.0,74.4,81.2,86.0,113.4,85.8,89.9,90.8,123.6,106.1,94.6,99.9,88.6
