Label,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"25-29, incidence, males",0.00,0.00,0.00,9.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.1,0.00,9.2,0.00,0.00,10.2,0.00,0.00,0.00,0.00,36.7,0.00,9.6,9.5,18.5,0.00,0.00,0.00,23.3,0.00,17.3,0.00,0.00,8.5,0.00,7.7,0.00,0.00,6.2,0.00
"30-34, incidence, males",0.00,11.4,0.00,10.8,0.00,0.00,0.00,0.00,0.00,0.00,9.3,0.00,0.00,9.2,9.2,9.3,9.3,0.00,9.6,0.00,29.4,19.6,0.00,0.00,9.4,18.6,0.00,8.3,0.00,0.00,8.6,17.4,0.00,8.4,8.3,0.00,0.00,0.00,0.00,0.00,13.2
"35-39, incidence, males",0.00,0.00,13.3,12.7,0.00,0.00,0.00,0.00,21.4,0.00,10.3,0.00,0.00,0.00,0.00,0.00,9.4,9.4,0.00,0.00,0.00,9.3,18.5,9.4,0.00,0.00,9.1,0.00,16.9,0.00,0.00,0.00,9.1,18.6,0.00,0.00,8.6,16.1,0.00,0.00,0.00
"40-44, incidence, males",0.00,18.6,0.00,0.00,0.00,15.2,14.2,13.4,12.8,12.2,0.00,0.00,0.00,0.00,0.00,10.5,0.00,30.0,29.5,19.3,9.4,0.00,28.0,27.9,27.4,36.6,17.4,8.4,0.00,9.0,0.00,9.7,19.5,0.00,0.00,9.2,0.00,17.3,0.00,16.3,7.9
"45-49, incidence, males",0.00,18.5,0.00,0.00,19.0,0.00,0.00,18.4,0.00,0.00,30.7,14.3,13.5,13.0,12.5,24.0,35.0,11.4,11.1,0.00,21.1,10.3,19.9,9.8,28.8,18.6,8.7,8.5,16.9,17.5,36.3,27.5,0.00,18.9,19.1,38.7,29.1,18.6,26.3,0.00,0.00
"50-54, incidence, males",0.00,17.9,17.6,17.7,0.00,18.3,18.9,0.00,0.00,0.00,0.00,0.00,0.00,17.9,0.00,0.00,14.6,27.7,26.4,12.6,12.1,0.00,11.5,22.4,10.7,10.6,9.9,9.4,9.2,0.00,0.00,27.8,18.7,9.3,9.3,9.4,18.5,18.2,27.0,44.7,9.0
"55-59, incidence, males",0.00,20.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.9,0.00,20.0,0.00,19.9,38.4,18.2,0.00,48.2,60.0,14.2,27.1,12.8,49.2,11.6,33.7,54.7,21.5,21.5,21.1,0.00,10.0,29.4,19.1,18.8,37.2,0.00,9.1,18.2
"60-64, incidence, males",0.00,0.00,0.00,22.6,0.00,21.6,0.00,0.00,20.8,20.4,0.00,0.00,19.3,38.7,0.00,19.9,20.5,21.0,62.7,20.9,0.00,62.0,19.9,75.7,35.9,0.00,46.4,43.5,41.4,26.3,38.1,0.00,12.0,23.4,0.00,11.2,0.00,20.9,0.00,0.00,9.6
"65-69, incidence, males",29.6,0.00,0.00,0.00,56.2,0.00,26.3,0.00,0.00,0.00,0.00,47.2,46.7,22.7,0.00,64.9,21.1,20.9,21.0,0.00,0.00,44.2,22.3,44.3,22.0,44.1,21.8,42.0,59.8,19.0,52.9,16.4,61.5,29.2,55.7,53.2,25.7,25.1,36.5,35.4,11.6
"70-74, incidence, males",0.00,0.00,0.00,70.9,0.00,0.00,0.00,34.0,33.3,32.7,0.00,0.00,29.1,0.00,27.8,0.00,0.00,105.9,0.00,50.9,24.5,94.4,23.4,23.4,47.1,47.2,72.7,122.2,48.5,24.2,72.7,47.7,46.0,43.7,61.9,38.2,53.2,33.3,47.4,15.0,43.0
