Label,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"25-29, incidence, males",4.5,4.5,2.5,7.6,3.1,4.4,7.5,9.3,6.1,9.1,7.8,8.9,7.0,10.3,9.1,3.4,8.0,8.6,7.5,4.1,3.6,4.3,5.1,5.9,4.7,7.6,4.1,6.1,4.0,1.9,1.9,3.1,4.8,4.7,4.5,7.7,4.3,7.4,3.7,5.3,2.1
"30-34, incidence, males",8.0,8.7,10.7,8.9,7.0,8.9,8.2,7.5,8.7,8.0,11.1,12.9,10.4,5.5,7.9,7.7,7.6,11.0,9.1,10.1,4.5,13.9,8.9,7.9,8.0,8.2,7.2,5.5,9.2,8.0,9.8,7.9,15.3,5.2,7.3,6.7,5.0,8.2,9.2,8.0,9.3
"35-39, incidence, males",19.2,15.6,11.8,11.3,15.4,15.9,13.6,15.1,8.2,12.7,10.8,20.2,13.1,11.2,15.4,14.7,12.9,16.5,10.3,18.0,11.8,9.3,12.0,9.0,7.2,10.5,12.1,10.3,15.7,11.9,18.0,14.9,13.4,9.6,13.0,15.8,10.1,16.7,18.8,13.7,14.1
"40-44, incidence, males",21.4,15.2,22.1,11.4,14.9,19.3,17.8,27.7,24.5,20.3,24.0,24.9,25.4,14.1,19.9,17.2,20.9,18.2,18.7,22.9,19.1,14.7,10.4,10.9,19.2,14.2,19.6,14.0,24.1,24.6,18.0,25.7,26.4,18.6,33.7,27.2,26.0,19.0,27.6,23.4,17.3
"45-49, incidence, males",17.2,23.8,17.7,28.0,23.4,18.7,24.0,16.8,27.6,33.5,36.0,39.1,33.6,30.1,35.7,31.8,22.7,26.3,21.3,20.1,24.5,19.8,24.7,23.9,26.8,27.8,19.7,21.9,19.1,24.7,28.7,30.2,26.2,31.5,29.3,28.5,26.3,30.8,29.8,37.7,30.8
"50-54, incidence, males",25.1,25.6,18.4,22.7,19.2,33.2,26.5,24.6,36.1,41.7,34.4,35.5,35.4,41.1,26.6,42.4,30.3,40.4,40.5,39.0,19.7,32.1,41.2,28.3,28.3,33.4,28.4,41.4,32.1,28.5,36.2,42.5,34.8,39.7,45.0,50.9,44.2,42.8,38.7,48.1,48.1
"55-59, incidence, males",16.8,28.6,21.4,22.1,21.8,26.3,21.9,27.4,38.2,45.5,41.3,43.2,43.5,25.5,40.0,47.1,35.6,49.4,34.8,38.0,53.6,43.3,44.5,42.4,31.6,43.2,46.2,38.2,55.7,43.5,55.1,48.4,50.9,57.9,55.3,67.0,58.6,78.9,70.8,66.8,58.3
"60-64, incidence, males",23.2,25.4,27.0,30.5,32.1,35.3,40.1,26.8,38.6,43.9,58.5,43.7,46.7,54.1,51.9,54.3,43.4,60.2,46.8,45.7,44.1,61.0,47.7,54.4,55.7,61.4,58.1,62.7,63.3,65.8,68.6,82.1,72.0,63.9,82.5,74.2,85.3,76.7,83.8,78.1,85.5
"65-69, incidence, males",30.0,31.1,22.4,37.2,26.6,29.3,40.8,33.3,44.2,58.0,34.6,49.1,56.7,40.8,48.7,62.5,43.5,59.6,66.4,50.5,70.6,65.4,50.2,65.0,60.8,82.3,65.8,72.5,73.2,87.4,107.2,118.0,112.3,101.6,109.2,115.9,114.5,110.7,97.7,112.8,105.9
"70-74, incidence, males",29.5,27.4,22.8,38.2,27.4,39.0,40.2,40.1,43.6,43.5,50.2,57.4,48.2,58.7,71.3,72.1,65.2,65.3,61.9,72.7,65.7,50.2,76.8,85.9,97.1,97.6,95.8,89.8,101.2,124.2,112.5,115.1,140.6,121.5,147.4,146.9,180.2,162.0,163.6,153.5,152.4
"75-79, incidence, males",24.9,24.6,30.3,21.9,23.3,28.4,29.7,36.3,30.3,45.7,48.9,45.2,48.3,64.7,64.2,66.0,57.5,75.4,60.6,81.3,84.9,92.7,55.8,69.8,70.7,110.9,99.7,95.0,135.7,135.5,99.6,160.6,149.2,142.7,187.6,162.2,173.9,195.2,188.2,201.3,201.1
"80-84, incidence, males",28.7,35.5,13.9,23.9,63.8,16.6,39.3,12.9,67.0,77.9,48.6,59.2,66.3,28.2,88.7,76.7,70.4,63.9,88.9,88.0,108.0,89.2,101.3,85.2,103.6,103.0,116.8,108.1,115.8,146.0,155.1,168.5,179.2,187.9,227.3,203.1,177.3,227.8,236.2,223.6,231.8
"85+, incidence, males",25.4,12.3,11.9,23.1,67.5,27.6,32.9,42.8,20.7,60.9,75.4,84.5,68.4,19.3,76.0,69.5,67.8,35.1,63.9,62.2,77.4,103.8,89.9,98.9,62.6,129.9,99.7,121.5,148.6,119.9,113.4,158.5,191.7,161.4,206.8,194.9,217.0,268.8,251.8,248.5,189.2
"25-29, incidence, females",8.1,10.0,5.3,11.2,7.2,7.2,13.1,9.2,10.4,23.8,9.5,14.4,14.2,14.6,13.8,13.7,13.1,20.2,8.4,15.1,8.6,13.3,8.5,9.4,8.2,6.3,14.7,9.0,10.2,14.0,11.8,10.3,13.7,13.3,8.8,11.4,11.7,11.6,9.9,11.0,11.1
"30-34, incidence, females",11.8,12.0,11.5,15.6,16.9,20.2,11.9,19.0,20.1,16.2,20.0,19.4,14.2,15.4,15.3,18.8,15.4,18.8,16.7,14.7,13.4,19.7,13.9,18.0,18.2,14.3,17.1,13.7,13.3,17.9,15.3,10.8,14.9,17.7,15.0,9.5,15.8,14.4,19.8,17.7,16.8
"35-39, incidence, females",27.6,23.3,26.6,20.8,20.3,17.0,21.8,22.3,27.1,19.6,19.4,19.2,22.2,29.1,20.6,20.5,20.5,23.1,22.3,12.6,22.3,18.9,18.6,25.3,22.0,17.2,23.9,26.0,21.5,26.7,25.8,22.0,29.0,29.9,19.9,27.2,28.9,26.7,18.8,25.6,24.8
"40-44, incidence, females",19.9,22.4,28.5,26.5,18.2,26.8,30.1,21.7,25.5,30.9,34.7,26.6,27.7,33.9,21.6,26.1,23.7,29.2,18.7,18.0,23.6,29.4,28.7,24.0,25.6,29.5,33.8,23.1,29.0,29.0,35.8,36.5,37.8,32.3,41.8,42.7,37.1,36.7,43.2,32.4,26.1
"45-49, incidence, females",26.8,23.1,19.1,22.1,31.9,28.1,30.4,33.4,38.5,27.0,29.5,43.2,29.6,23.6,29.0,26.9,26.6,33.2,26.5,25.7,27.5,23.8,33.8,27.8,29.5,35.1,33.1,27.3,30.2,35.3,35.3,38.1,48.8,41.0,47.4,48.4,52.3,49.2,42.2,52.2,54.3
"50-54, incidence, females",25.2,15.2,19.4,43.6,28.5,33.3,31.9,35.4,35.2,38.6,42.6,30.8,30.0,39.0,35.2,49.6,38.2,46.3,31.4,37.4,27.9,30.9,32.8,24.0,39.6,25.7,48.5,36.0,30.5,40.5,41.5,45.8,37.3,46.9,50.5,50.8,52.1,53.9,69.2,57.9,50.5
"55-59, incidence, females",29.3,27.0,25.2,29.7,30.7,35.2,32.1,35.7,36.4,39.5,41.5,24.9,36.1,45.6,39.2,42.3,38.3,31.4,35.8,43.8,37.0,42.8,42.1,49.3,37.4,38.5,41.0,45.1,43.8,46.2,53.9,66.4,56.7,51.6,60.8,64.2,50.6,74.5,62.4,71.4,73.1
"60-64, incidence, females",23.9,21.7,19.8,38.0,30.5,30.3,28.8,29.7,34.4,43.2,38.4,45.2,28.6,39.7,47.1,55.8,43.4,56.2,22.3,38.1,49.8,46.6,51.5,48.6,39.6,58.0,51.3,58.2,57.0,53.0,50.5,58.0,62.4,64.5,73.9,68.2,77.2,68.5,73.1,71.8,73.9
"65-69, incidence, females",24.3,22.3,28.6,26.5,32.8,26.9,32.4,28.7,39.1,42.6,39.0,34.9,43.5,39.1,49.5,37.2,41.1,48.2,39.3,47.0,56.0,45.4,58.7,58.2,46.7,48.7,55.2,55.8,53.6,64.2,93.5,91.5,92.9,68.8,90.3,85.3,71.6,91.6,90.1,80.7,86.2
"70-74, incidence, females",21.8,23.6,29.6,29.1,31.9,32.7,37.6,24.2,24.9,30.8,47.0,36.3,57.7,52.9,51.8,46.1,35.8,48.1,50.7,46.8,51.2,44.2,53.0,55.2,50.4,71.0,64.7,55.1,59.5,88.3,66.9,82.5,88.1,101.7,107.5,97.0,114.2,102.9,103.8,103.6,108.1
"75-79, incidence, females",48.6,26.0,20.2,29.2,28.7,42.2,35.2,29.6,37.7,49.3,38.2,36.7,51.6,34.7,39.1,44.0,45.0,44.5,47.6,57.1,65.6,59.8,57.0,53.9,71.4,60.3,61.2,82.6,69.5,61.6,87.1,78.7,84.6,82.3,113.4,87.9,128.6,99.1,135.9,124.1,128.7
"80-84, incidence, females",30.1,29.2,36.4,29.4,24.8,39.2,42.1,34.1,35.3,34.6,47.4,39.9,55.4,33.6,37.9,45.2,61.5,52.9,35.6,42.7,70.7,58.7,64.8,53.3,50.0,54.6,67.2,76.2,64.9,84.5,86.0,122.6,100.2,95.1,124.3,96.6,129.0,110.9,151.7,120.3,140.6
"85+, incidence, females",33.9,19.3,30.4,54.6,24.6,31.4,48.1,24.2,39.2,29.1,37.0,40.2,37.0,36.0,37.1,51.3,42.5,46.6,55.9,41.0,46.8,57.2,49.5,59.2,70.1,63.2,70.4,79.2,74.6,89.0,102.3,119.8,92.8,122.8,118.9,137.0,113.8,113.9,153.7,143.0,125.0
"25-29, mortality, males",0.00,0.64,1.3,1.3,0.63,0.63,1.9,1.2,0.00,0.61,0.60,0.00,1.7,1.1,1.1,0.00,0.00,0.00,0.00,0.59,0.00,0.62,0.64,0.00,0.00,0.69,2.1,0.68,0.66,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.00,0.53,0.00,0.00
"30-34, mortality, males",1.2,4.3,1.3,1.3,0.64,2.6,1.9,1.2,2.5,1.8,0.61,3.1,1.8,1.8,1.8,0.60,0.00,0.58,2.3,0.00,1.1,0.00,0.00,2.3,1.1,0.58,2.4,1.2,1.8,3.1,0.61,0.61,0.59,1.1,0.56,0.00,0.55,0.55,0.00,0.53,0.00
"35-39, mortality, males",1.5,3.5,2.6,1.9,1.8,5.5,4.3,1.9,3.8,0.64,1.3,2.5,4.4,3.1,2.5,3.1,2.5,3.7,0.61,3.6,2.4,3.5,1.7,2.2,1.7,4.4,2.2,1.1,1.6,2.7,0.55,0.00,1.7,0.56,2.8,2.3,1.7,0.00,1.1,0.00,1.1
"40-44, mortality, males",4.9,5.7,8.3,2.6,7.4,6.2,4.3,0.66,6.3,4.9,5.5,4.4,3.8,3.8,3.2,0.64,1.9,3.1,0.62,3.7,3.1,6.8,4.3,1.8,0.60,2.4,1.2,2.8,1.6,3.7,1.1,5.8,5.2,3.1,2.6,2.6,2.1,0.54,0.55,2.8,1.1
"45-49, mortality, males",2.0,3.1,9.4,8.3,8.1,4.9,7.7,2.8,6.2,10.1,7.8,2.2,5.4,8.3,5.6,7.5,7.6,4.5,5.8,4.5,3.2,6.4,5.1,3.8,1.9,4.3,4.3,5.5,4.2,5.3,4.0,6.2,2.7,1.6,4.2,2.6,5.2,3.1,4.6,2.6,0.52
"50-54, mortality, males",5.6,3.8,6.8,6.9,7.1,10.4,10.6,3.2,7.4,6.2,4.0,5.9,7.7,11.9,14.6,8.0,9.6,10.3,11.8,9.6,15.9,4.5,3.9,7.9,5.9,7.9,7.8,10.8,8.8,8.1,7.4,6.7,6.6,3.6,4.7,5.1,3.9,2.7,5.9,3.2,1.6
"55-59, mortality, males",6.7,6.9,9.8,12.0,10.4,7.8,9.9,13.2,14.5,6.3,10.9,7.8,12.3,10.0,14.1,7.3,10.2,14.8,5.7,11.5,14.0,7.6,14.1,14.1,11.8,13.1,7.3,10.0,7.4,9.4,9.3,11.8,8.4,8.9,7.5,9.3,6.8,6.1,4.8,6.6,4.1
"60-64, mortality, males",9.3,10.9,9.0,11.6,11.6,13.6,8.4,13.4,6.9,13.3,15.7,9.6,13.0,14.3,16.9,10.4,8.2,13.0,7.0,11.4,20.9,12.8,12.4,10.9,13.9,20.7,11.9,17.7,17.6,13.7,18.3,10.3,18.0,18.8,12.5,16.5,9.5,12.0,12.5,9.8,7.1
"65-69, mortality, males",11.8,8.6,15.0,14.9,9.6,13.6,10.2,16.2,12.1,23.0,15.2,12.5,9.6,23.1,17.0,20.8,11.8,11.9,13.3,17.2,18.9,15.4,16.7,15.3,22.3,23.9,17.3,26.8,17.0,18.9,26.8,24.6,28.3,21.7,18.9,28.1,23.2,12.5,18.4,14.6,20.3
"70-74, mortality, males",1.4,15.1,16.1,17.1,11.7,18.2,16.9,18.1,21.8,7.7,23.9,12.2,22.9,14.4,28.5,12.0,22.2,26.4,23.2,17.2,17.4,21.7,26.1,20.8,25.3,27.3,29.0,23.2,22.8,37.3,26.5,34.5,27.1,33.9,28.4,23.3,25.1,17.1,19.5,23.7,24.2
