Label,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"25-29, incidence, males",4.2,2.1,6.3,2.6,1.1,3.2,6.8,5.7,5.1,2.5,7.4,4.3,7.4,3.2,3.7,7.6,5.9,4.5,4.1,6.7,8.2,6.7,4.7,7.6,6.8,9.4,14.6,13.7,8.8,8.9,15.4,11.4,11.8,8.5,15.1,9.4,10.6,5.7,8.5,5.9,7.8
"30-34, incidence, males",5.6,2.4,8.5,8.8,4.2,6.9,6.3,5.8,8.4,5.3,4.2,3.7,6.3,7.2,8.5,6.8,10.0,10.1,5.4,7.4,8.5,12.2,9.5,15.8,10.8,7.7,13.6,16.1,14.2,24.0,20.7,16.6,15.1,15.4,15.5,11.7,16.8,14.1,12.0,14.4,15.1
"35-39, incidence, males",8.7,7.6,8.6,12.1,6.9,8.5,10.2,11.1,9.9,13.2,9.6,10.6,7.4,8.9,12.7,12.6,7.8,8.3,12.3,10.0,6.8,10.9,17.5,10.9,9.4,13.5,19.4,13.2,18.5,25.2,22.0,21.6,22.8,21.7,19.8,23.5,29.3,26.8,21.9,16.8,17.0
"40-44, incidence, males",8.7,7.9,12.8,11.7,10.5,11.5,14.9,15.0,14.6,13.5,17.1,15.2,16.3,11.6,12.2,11.7,18.1,13.8,11.6,16.9,17.4,17.8,22.4,12.4,18.4,17.9,17.4,22.1,25.3,25.3,22.7,30.3,26.4,32.3,27.7,33.0,27.0,32.9,36.1,35.2,28.9
"45-49, incidence, males",17.0,7.4,8.7,12.9,14.0,13.7,13.4,20.9,13.1,20.3,24.1,21.0,21.7,19.1,19.0,20.8,19.8,20.1,13.8,23.1,22.1,17.8,19.3,19.3,15.0,21.9,21.2,26.2,19.1,33.6,34.2,34.7,38.5,33.4,31.2,36.3,51.1,43.5,45.8,46.4,42.1
"50-54, incidence, males",18.5,14.9,10.6,18.2,23.0,24.4,19.0,18.0,22.9,18.0,24.7,19.3,17.5,24.4,28.1,27.0,23.1,27.7,23.9,25.7,40.5,27.4,24.8,28.3,19.9,31.6,24.9,33.5,28.5,41.0,35.9,40.5,42.8,36.3,38.8,43.2,50.5,51.0,51.4,57.5,59.1
"55-59, incidence, males",14.2,16.8,14.9,17.4,29.8,17.9,23.6,15.1,21.6,21.8,28.1,24.8,18.2,24.0,28.6,37.6,34.4,34.9,34.0,34.2,38.1,35.7,35.6,39.1,40.0,39.9,37.1,37.4,41.4,53.1,44.7,56.0,50.0,43.0,45.1,45.9,62.6,52.6,71.0,61.6,66.9
"60-64, incidence, males",13.8,20.6,16.4,19.5,18.8,29.5,20.7,27.6,24.6,27.4,19.5,32.4,33.6,28.5,34.0,40.7,39.6,31.3,42.2,39.4,40.7,41.9,48.9,50.2,47.5,64.7,56.2,59.0,61.6,68.8,66.5,69.1,75.0,73.2,79.8,56.5,70.0,77.1,85.6,70.0,63.0
"65-69, incidence, males",14.0,25.8,20.7,22.9,28.5,17.7,32.7,34.9,41.9,26.8,38.1,32.7,35.9,35.3,38.4,43.8,36.4,33.8,44.6,30.3,55.2,40.2,38.4,45.7,56.6,74.3,74.0,70.4,73.8,79.2,89.9,86.5,98.1,85.2,102.6,92.3,88.4,87.1,91.6,98.1,99.6
"70-74, incidence, males",26.1,17.8,26.4,20.5,27.9,15.1,22.9,27.6,22.4,42.8,35.2,39.9,28.4,44.6,44.6,53.9,37.5,49.1,51.7,59.6,49.0,43.4,50.5,65.4,43.3,67.3,65.8,83.1,89.1,103.4,94.1,131.3,123.0,109.8,140.5,121.6,134.3,151.4,163.8,125.4,130.9
"75-79, incidence, males",17.3,30.8,20.2,26.6,17.9,30.0,30.9,27.3,37.1,38.2,38.2,43.1,49.5,48.6,52.1,51.0,69.3,54.9,44.2,45.4,52.0,48.3,41.2,64.7,67.3,76.2,96.5,113.7,115.9,114.2,98.9,125.6,114.8,115.8,134.1,132.8,145.5,166.0,147.8,171.4,150.1
"80-84, incidence, males",21.6,12.2,15.2,14.9,23.5,17.2,19.8,27.7,24.5,34.6,48.9,37.8,31.9,33.5,42.7,47.3,33.5,50.5,48.8,43.9,63.6,68.2,57.6,70.7,84.3,82.0,94.5,111.1,71.2,144.2,128.4,143.9,162.6,124.2,136.7,105.1,150.3,143.2,173.8,185.2,171.0
